grid_cell,lat_bin,lon_bin,hour,day_of_week,crime_count,n_crime_types,month_mode,is_weekend,risk_level
41.65_-87.54,41.65,-87.54,2,1,1,1,11,0,Low
41.65_-87.54,41.65,-87.54,2,3,1,1,1,0,Low
41.65_-87.54,41.65,-87.54,2,5,1,1,7,1,Low
41.65_-87.54,41.65,-87.54,2,6,1,1,5,1,Low
41.65_-87.54,41.65,-87.54,3,1,1,1,11,0,Low
41.65_-87.54,41.65,-87.54,3,2,2,2,10,0,Low
41.65_-87.54,41.65,-87.54,3,6,4,3,6,1,Medium
41.65_-87.54,41.65,-87.54,4,1,1,1,7,0,Low
41.65_-87.54,41.65,-87.54,4,3,1,1,3,0,Low
41.65_-87.54,41.65,-87.54,4,6,1,1,10,1,Low
41.65_-87.54,41.65,-87.54,5,0,2,2,9,0,Low
41.65_-87.54,41.65,-87.54,5,4,1,1,9,0,Low
41.65_-87.54,41.65,-87.54,5,5,2,2,1,1,Low
41.65_-87.54,41.65,-87.54,5,6,1,1,7,1,Low
41.65_-87.54,41.65,-87.54,6,2,1,1,6,0,Low
41.65_-87.54,41.65,-87.54,6,4,1,1,6,0,Low
41.65_-87.54,41.65,-87.54,6,6,1,1,12,1,Low
41.65_-87.54,41.65,-87.54,7,0,2,2,3,0,Low
41.65_-87.54,41.65,-87.54,7,1,1,1,4,0,Low
41.65_-87.54,41.65,-87.54,7,2,1,1,5,0,Low
41.65_-87.54,41.65,-87.54,7,4,3,2,4,0,Medium
41.65_-87.54,41.65,-87.54,7,5,1,1,4,1,Low
41.65_-87.54,41.65,-87.54,8,0,2,2,5,0,Low
41.65_-87.54,41.65,-87.54,8,6,2,2,3,1,Low
41.65_-87.54,41.65,-87.54,9,0,5,4,4,0,High
41.65_-87.54,41.65,-87.54,9,1,1,1,10,0,Low
41.65_-87.54,41.65,-87.54,9,2,1,1,4,0,Low
41.65_-87.54,41.65,-87.54,9,3,2,2,2,0,Low
41.65_-87.54,41.65,-87.54,9,5,1,1,10,1,Low
41.65_-87.54,41.65,-87.54,9,6,1,1,12,1,Low
41.65_-87.54,41.65,-87.54,10,0,2,2,3,0,Low
41.65_-87.54,41.65,-87.54,10,1,1,1,6,0,Low
41.65_-87.54,41.65,-87.54,10,2,1,1,7,0,Low
41.65_-87.54,41.65,-87.54,10,4,2,2,2,0,Low
41.65_-87.54,41.65,-87.54,11,0,2,2,3,0,Low
41.65_-87.54,41.65,-87.54,11,2,2,2,5,0,Low
41.65_-87.54,41.65,-87.54,11,3,2,2,7,0,Low
41.65_-87.54,41.65,-87.54,11,4,1,1,5,0,Low
41.65_-87.54,41.65,-87.54,11,5,1,1,4,1,Low
41.65_-87.54,41.65,-87.54,11,6,2,2,3,1,Low
41.65_-87.54,41.65,-87.54,12,0,2,2,5,0,Low
41.65_-87.54,41.65,-87.54,12,2,2,2,1,0,Low
41.65_-87.54,41.65,-87.54,12,4,3,2,3,0,Medium
41.65_-87.54,41.65,-87.54,12,5,1,1,5,1,Low
41.65_-87.54,41.65,-87.54,13,1,1,1,12,0,Low
41.65_-87.54,41.65,-87.54,13,4,2,2,3,0,Low
41.65_-87.54,41.65,-87.54,13,5,1,1,2,1,Low
41.65_-87.54,41.65,-87.54,13,6,1,1,2,1,Low
41.65_-87.54,41.65,-87.54,14,0,2,2,6,0,Low
41.65_-87.54,41.65,-87.54,14,1,3,3,2,0,Medium
41.65_-87.54,41.65,-87.54,14,2,3,2,9,0,Medium
41.65_-87.54,41.65,-87.54,14,4,2,2,3,0,Low
41.65_-87.54,41.65,-87.54,14,5,1,1,5,1,Low
41.65_-87.54,41.65,-87.54,14,6,2,2,1,1,Low
41.65_-87.54,41.65,-87.54,15,0,1,1,8,0,Low
41.65_-87.54,41.65,-87.54,15,1,2,2,3,0,Low
41.65_-87.54,41.65,-87.54,15,2,5,2,4,0,High
41.65_-87.54,41.65,-87.54,15,3,1,1,5,0,Low
41.65_-87.54,41.65,-87.54,15,4,1,1,4,0,Low
41.65_-87.54,41.65,-87.54,15,6,1,1,10,1,Low
41.65_-87.54,41.65,-87.54,16,0,1,1,5,0,Low
41.65_-87.54,41.65,-87.54,16,1,2,2,3,0,Low
41.65_-87.54,41.65,-87.54,16,3,1,1,10,0,Low
41.65_-87.54,41.65,-87.54,16,4,1,1,7,0,Low
41.65_-87.54,41.65,-87.54,16,5,2,2,3,1,Low
41.65_-87.54,41.65,-87.54,16,6,1,1,8,1,Low
41.65_-87.54,41.65,-87.54,17,0,1,1,3,0,Low
41.65_-87.54,41.65,-87.54,17,1,2,2,3,0,Low
41.65_-87.54,41.65,-87.54,17,3,2,1,1,0,Low
41.65_-87.54,41.65,-87.54,17,4,1,1,9,0,Low
41.65_-87.54,41.65,-87.54,17,6,1,1,2,1,Low
41.65_-87.54,41.65,-87.54,18,0,2,2,1,0,Low
41.65_-87.54,41.65,-87.54,18,3,1,1,2,0,Low
41.65_-87.54,41.65,-87.54,18,4,1,1,6,0,Low
41.65_-87.54,41.65,-87.54,19,0,2,2,3,0,Low
41.65_-87.54,41.65,-87.54,19,2,1,1,3,0,Low
41.65_-87.54,41.65,-87.54,19,3,1,1,7,0,Low
41.65_-87.54,41.65,-87.54,19,4,1,1,1,0,Low
41.65_-87.54,41.65,-87.54,19,5,1,1,1,1,Low
41.65_-87.54,41.65,-87.54,19,6,1,1,3,1,Low
41.65_-87.54,41.65,-87.54,20,1,3,3,2,0,Medium
41.65_-87.54,41.65,-87.54,20,4,1,1,3,0,Low
41.65_-87.54,41.65,-87.54,20,5,1,1,3,1,Low
41.65_-87.54,41.65,-87.54,20,6,2,2,4,1,Low
41.65_-87.54,41.65,-87.54,21,3,2,2,2,0,Low
41.65_-87.54,41.65,-87.54,21,4,1,1,2,0,Low
41.65_-87.54,41.65,-87.54,21,5,2,2,4,1,Low
41.65_-87.54,41.65,-87.54,21,6,2,2,8,1,Low
41.65_-87.54,41.65,-87.54,22,2,1,1,11,0,Low
41.65_-87.54,41.65,-87.54,22,3,2,2,3,0,Low
41.65_-87.54,41.65,-87.54,22,4,2,2,3,0,Low
41.65_-87.54,41.65,-87.54,22,5,2,2,5,1,Low
41.65_-87.54,41.65,-87.54,23,2,1,1,1,0,Low
41.65_-87.54,41.65,-87.54,23,3,3,3,4,0,Medium
41.65_-87.54,41.65,-87.54,23,4,2,1,1,0,Low
41.65_-87.54,41.65,-87.54,23,5,1,1,5,1,Low
41.65_-87.55,41.65,-87.55,0,0,3,2,2,0,Medium
41.65_-87.55,41.65,-87.55,0,1,2,2,3,0,Low
41.65_-87.55,41.65,-87.55,0,2,4,3,5,0,Medium
41.65_-87.55,41.65,-87.55,0,3,2,2,3,0,Low
41.65_-87.55,41.65,-87.55,0,4,1,1,4,0,Low
41.65_-87.55,41.65,-87.55,0,5,1,1,5,1,Low
41.65_-87.55,41.65,-87.55,0,6,1,1,7,1,Low
41.65_-87.55,41.65,-87.55,1,0,3,3,1,0,Medium
41.65_-87.55,41.65,-87.55,1,1,1,1,3,0,Low
41.65_-87.55,41.65,-87.55,1,4,1,1,10,0,Low
41.65_-87.55,41.65,-87.55,1,5,2,2,4,1,Low
41.65_-87.55,41.65,-87.55,1,6,1,1,9,1,Low
41.65_-87.55,41.65,-87.55,2,0,9,3,2,0,High
41.65_-87.55,41.65,-87.55,2,2,1,1,3,0,Low
41.65_-87.55,41.65,-87.55,2,5,1,1,11,1,Low
41.65_-87.55,41.65,-87.55,3,0,1,1,1,0,Low
41.65_-87.55,41.65,-87.55,3,1,1,1,10,0,Low
41.65_-87.55,41.65,-87.55,3,2,1,1,6,0,Low
41.65_-87.55,41.65,-87.55,3,3,1,1,4,0,Low
41.65_-87.55,41.65,-87.55,3,6,2,2,2,1,Low
41.65_-87.55,41.65,-87.55,4,6,1,1,6,1,Low
41.65_-87.55,41.65,-87.55,5,0,2,2,3,0,Low
41.65_-87.55,41.65,-87.55,5,2,2,2,2,0,Low
41.65_-87.55,41.65,-87.55,5,6,2,2,7,1,Low
41.65_-87.55,41.65,-87.55,6,1,3,3,9,0,Medium
41.65_-87.55,41.65,-87.55,7,2,1,1,5,0,Low
41.65_-87.55,41.65,-87.55,8,0,1,1,6,0,Low
41.65_-87.55,41.65,-87.55,8,3,2,2,3,0,Low
41.65_-87.55,41.65,-87.55,8,4,3,3,3,0,Medium
41.65_-87.55,41.65,-87.55,8,5,1,1,3,1,Low
41.65_-87.55,41.65,-87.55,8,6,1,1,4,1,Low
41.65_-87.55,41.65,-87.55,9,4,1,1,12,0,Low
41.65_-87.55,41.65,-87.55,9,5,1,1,9,1,Low
41.65_-87.55,41.65,-87.55,9,6,1,1,4,1,Low
41.65_-87.55,41.65,-87.55,10,0,2,2,4,0,Low
41.65_-87.55,41.65,-87.55,10,1,1,1,8,0,Low
41.65_-87.55,41.65,-87.55,10,3,1,1,1,0,Low
41.65_-87.55,41.65,-87.55,11,0,2,2,3,0,Low
41.65_-87.55,41.65,-87.55,11,1,1,1,4,0,Low
41.65_-87.55,41.65,-87.55,11,4,1,1,11,0,Low
41.65_-87.55,41.65,-87.55,11,5,1,1,5,1,Low
41.65_-87.55,41.65,-87.55,12,1,1,1,6,0,Low
41.65_-87.55,41.65,-87.55,12,2,1,1,4,0,Low
41.65_-87.55,41.65,-87.55,12,3,2,2,4,0,Low
41.65_-87.55,41.65,-87.55,12,5,3,3,6,1,Medium
41.65_-87.55,41.65,-87.55,13,0,1,1,3,0,Low
41.65_-87.55,41.65,-87.55,13,2,2,1,2,0,Low
41.65_-87.55,41.65,-87.55,13,3,2,2,10,0,Low
41.65_-87.55,41.65,-87.55,13,6,1,1,3,1,Low
41.65_-87.55,41.65,-87.55,14,2,1,1,1,0,Low
41.65_-87.55,41.65,-87.55,14,5,3,2,5,1,Medium
41.65_-87.55,41.65,-87.55,14,6,1,1,3,1,Low
41.65_-87.55,41.65,-87.55,15,0,1,1,8,0,Low
41.65_-87.55,41.65,-87.55,15,3,1,1,3,0,Low
41.65_-87.55,41.65,-87.55,15,4,1,1,8,0,Low
41.65_-87.55,41.65,-87.55,15,6,1,1,4,1,Low
41.65_-87.55,41.65,-87.55,16,1,2,2,3,0,Low
41.65_-87.55,41.65,-87.55,16,3,1,1,2,0,Low
41.65_-87.55,41.65,-87.55,16,4,2,2,3,0,Low
41.65_-87.55,41.65,-87.55,16,6,2,2,4,1,Low
41.65_-87.55,41.65,-87.55,17,0,2,2,2,0,Low
41.65_-87.55,41.65,-87.55,17,1,2,2,3,0,Low
41.65_-87.55,41.65,-87.55,17,3,2,2,5,0,Low
41.65_-87.55,41.65,-87.55,17,4,1,1,8,0,Low
41.65_-87.55,41.65,-87.55,17,5,1,1,5,1,Low
41.65_-87.55,41.65,-87.55,18,0,2,1,8,0,Low
41.65_-87.55,41.65,-87.55,18,1,1,1,12,0,Low
41.65_-87.55,41.65,-87.55,18,2,2,2,1,0,Low
41.65_-87.55,41.65,-87.55,18,3,1,1,4,0,Low
41.65_-87.55,41.65,-87.55,18,4,1,1,5,0,Low
41.65_-87.55,41.65,-87.55,19,0,1,1,3,0,Low
41.65_-87.55,41.65,-87.55,19,1,1,1,11,0,Low
41.65_-87.55,41.65,-87.55,19,3,2,1,6,0,Low
41.65_-87.55,41.65,-87.55,19,4,1,1,11,0,Low
41.65_-87.55,41.65,-87.55,19,6,4,3,5,1,Medium
41.65_-87.55,41.65,-87.55,20,0,1,1,3,0,Low
41.65_-87.55,41.65,-87.55,20,1,1,1,9,0,Low
41.65_-87.55,41.65,-87.55,20,2,1,1,2,0,Low
41.65_-87.55,41.65,-87.55,20,3,1,1,7,0,Low
41.65_-87.55,41.65,-87.55,20,4,1,1,10,0,Low
41.65_-87.55,41.65,-87.55,20,5,1,1,7,1,Low
41.65_-87.55,41.65,-87.55,20,6,1,1,11,1,Low
41.65_-87.55,41.65,-87.55,21,0,1,1,3,0,Low
41.65_-87.55,41.65,-87.55,21,1,2,2,4,0,Low
41.65_-87.55,41.65,-87.55,21,2,1,1,4,0,Low
41.65_-87.55,41.65,-87.55,21,4,2,2,3,0,Low
41.65_-87.55,41.65,-87.55,21,5,1,1,3,1,Low
41.65_-87.55,41.65,-87.55,21,6,2,2,1,1,Low
41.65_-87.55,41.65,-87.55,22,1,1,1,5,0,Low
41.65_-87.55,41.65,-87.55,22,2,1,1,10,0,Low
41.65_-87.55,41.65,-87.55,22,4,2,2,2,0,Low
41.65_-87.55,41.65,-87.55,22,5,2,2,1,1,Low
41.65_-87.55,41.65,-87.55,23,0,3,3,2,0,Medium
41.65_-87.55,41.65,-87.55,23,1,1,1,2,0,Low
41.65_-87.55,41.65,-87.55,23,2,2,2,2,0,Low
41.65_-87.55,41.65,-87.55,23,3,2,1,3,0,Low
41.65_-87.55,41.65,-87.55,23,4,1,1,11,0,Low
41.65_-87.56,41.65,-87.56,1,0,1,1,4,0,Low
41.65_-87.56,41.65,-87.56,1,1,1,1,7,0,Low
41.65_-87.56,41.65,-87.56,3,5,1,1,11,1,Low
41.65_-87.56,41.65,-87.56,4,2,1,1,3,0,Low
41.65_-87.56,41.65,-87.56,4,4,1,1,10,0,Low
41.65_-87.56,41.65,-87.56,5,5,1,1,10,1,Low
41.65_-87.56,41.65,-87.56,6,2,1,1,4,0,Low
41.65_-87.56,41.65,-87.56,7,2,1,1,3,0,Low
41.65_-87.56,41.65,-87.56,8,1,1,1,7,0,Low
41.65_-87.56,41.65,-87.56,8,3,1,1,1,0,Low
41.65_-87.56,41.65,-87.56,12,4,1,1,8,0,Low
41.65_-87.56,41.65,-87.56,13,4,1,1,1,0,Low
41.65_-87.56,41.65,-87.56,14,4,1,1,4,0,Low
41.65_-87.56,41.65,-87.56,15,3,2,2,5,0,Low
41.65_-87.56,41.65,-87.56,16,3,1,1,4,0,Low
41.65_-87.56,41.65,-87.56,16,5,1,1,2,1,Low
41.65_-87.56,41.65,-87.56,17,0,1,1,5,0,Low
41.65_-87.56,41.65,-87.56,18,4,1,1,8,0,Low
41.65_-87.56,41.65,-87.56,20,2,1,1,9,0,Low
41.65_-87.56,41.65,-87.56,21,4,1,1,2,0,Low
41.65_-87.56,41.65,-87.56,22,5,1,1,10,1,Low
41.65_-87.59,41.65,-87.59,18,0,1,1,4,0,Low
41.65_-87.59,41.65,-87.59,23,6,1,1,2,1,Low
41.65_-87.6,41.65,-87.6,0,0,3,2,7,0,Medium
41.65_-87.6,41.65,-87.6,0,1,2,2,5,0,Low
41.65_-87.6,41.65,-87.6,0,2,1,1,6,0,Low
41.65_-87.6,41.65,-87.6,0,3,2,2,1,0,Low
41.65_-87.6,41.65,-87.6,0,4,2,2,3,0,Low
41.65_-87.6,41.65,-87.6,0,5,2,2,5,1,Low
41.65_-87.6,41.65,-87.6,1,1,1,1,7,0,Low
41.65_-87.6,41.65,-87.6,1,2,1,1,11,0,Low
41.65_-87.6,41.65,-87.6,1,4,1,1,1,0,Low
41.65_-87.6,41.65,-87.6,1,5,1,1,8,1,Low
41.65_-87.6,41.65,-87.6,2,2,2,2,1,0,Low
41.65_-87.6,41.65,-87.6,2,4,1,1,1,0,Low
41.65_-87.6,41.65,-87.6,2,5,1,1,8,1,Low
41.65_-87.6,41.65,-87.6,2,6,1,1,6,1,Low
41.65_-87.6,41.65,-87.6,3,4,1,1,3,0,Low
41.65_-87.6,41.65,-87.6,3,5,1,1,1,1,Low
41.65_-87.6,41.65,-87.6,3,6,1,1,2,1,Low
41.65_-87.6,41.65,-87.6,4,1,1,1,7,0,Low
41.65_-87.6,41.65,-87.6,4,2,1,1,2,0,Low
41.65_-87.6,41.65,-87.6,4,5,1,1,6,1,Low
41.65_-87.6,41.65,-87.6,4,6,2,2,2,1,Low
41.65_-87.6,41.65,-87.6,5,3,1,1,8,0,Low
41.65_-87.6,41.65,-87.6,6,0,2,2,1,0,Low
41.65_-87.6,41.65,-87.6,6,2,1,1,6,0,Low
41.65_-87.6,41.65,-87.6,6,3,1,1,6,0,Low
41.65_-87.6,41.65,-87.6,7,0,1,1,5,0,Low
41.65_-87.6,41.65,-87.6,7,1,1,1,2,0,Low
41.65_-87.6,41.65,-87.6,7,3,1,1,2,0,Low
41.65_-87.6,41.65,-87.6,7,4,1,1,1,0,Low
41.65_-87.6,41.65,-87.6,8,0,4,3,1,0,Medium
41.65_-87.6,41.65,-87.6,8,3,3,2,5,0,Medium
41.65_-87.6,41.65,-87.6,8,4,2,2,1,0,Low
41.65_-87.6,41.65,-87.6,9,2,1,1,4,0,Low
41.65_-87.6,41.65,-87.6,9,3,4,4,2,0,Medium
41.65_-87.6,41.65,-87.6,9,4,4,4,3,0,Medium
41.65_-87.6,41.65,-87.6,9,5,1,1,11,1,Low
41.65_-87.6,41.65,-87.6,9,6,3,3,5,1,Medium
41.65_-87.6,41.65,-87.6,10,0,2,2,5,0,Low
41.65_-87.6,41.65,-87.6,10,1,1,1,1,0,Low
41.65_-87.6,41.65,-87.6,10,3,1,1,11,0,Low
41.65_-87.6,41.65,-87.6,10,4,1,1,12,0,Low
41.65_-87.6,41.65,-87.6,10,5,1,1,1,1,Low
41.65_-87.6,41.65,-87.6,10,6,1,1,9,1,Low
41.65_-87.6,41.65,-87.6,11,0,2,1,2,0,Low
41.65_-87.6,41.65,-87.6,11,1,2,2,7,0,Low
41.65_-87.6,41.65,-87.6,11,2,2,2,2,0,Low
41.65_-87.6,41.65,-87.6,11,3,4,3,5,0,Medium
41.65_-87.6,41.65,-87.6,11,4,1,1,8,0,Low
41.65_-87.6,41.65,-87.6,11,5,3,3,1,1,Medium
41.65_-87.6,41.65,-87.6,11,6,1,1,6,1,Low
41.65_-87.6,41.65,-87.6,12,0,1,1,2,0,Low
41.65_-87.6,41.65,-87.6,12,1,1,1,3,0,Low
41.65_-87.6,41.65,-87.6,12,3,1,1,3,0,Low
41.65_-87.6,41.65,-87.6,12,4,1,1,5,0,Low
41.65_-87.6,41.65,-87.6,12,5,1,1,4,1,Low
41.65_-87.6,41.65,-87.6,12,6,1,1,3,1,Low
41.65_-87.6,41.65,-87.6,13,0,1,1,3,0,Low
41.65_-87.6,41.65,-87.6,13,2,3,3,3,0,Medium
41.65_-87.6,41.65,-87.6,13,3,1,1,10,0,Low
41.65_-87.6,41.65,-87.6,13,6,1,1,7,1,Low
41.65_-87.6,41.65,-87.6,14,0,1,1,12,0,Low
41.65_-87.6,41.65,-87.6,14,3,2,1,4,0,Low
41.65_-87.6,41.65,-87.6,14,4,2,2,1,0,Low
41.65_-87.6,41.65,-87.6,14,5,1,1,6,1,Low
41.65_-87.6,41.65,-87.6,14,6,1,1,4,1,Low
41.65_-87.6,41.65,-87.6,15,1,1,1,5,0,Low
41.65_-87.6,41.65,-87.6,15,2,2,2,1,0,Low
41.65_-87.6,41.65,-87.6,15,3,2,2,4,0,Low
41.65_-87.6,41.65,-87.6,15,4,2,2,1,0,Low
41.65_-87.6,41.65,-87.6,15,6,1,1,4,1,Low
41.65_-87.6,41.65,-87.6,16,1,1,1,7,0,Low
41.65_-87.6,41.65,-87.6,16,6,3,3,4,1,Medium
41.65_-87.6,41.65,-87.6,17,0,2,2,2,0,Low
41.65_-87.6,41.65,-87.6,17,1,1,1,10,0,Low
41.65_-87.6,41.65,-87.6,17,2,2,2,5,0,Low
41.65_-87.6,41.65,-87.6,17,3,3,3,2,0,Medium
41.65_-87.6,41.65,-87.6,17,4,1,1,2,0,Low
41.65_-87.6,41.65,-87.6,17,6,1,1,8,1,Low
41.65_-87.6,41.65,-87.6,18,0,1,1,6,0,Low
41.65_-87.6,41.65,-87.6,18,1,2,2,1,0,Low
41.65_-87.6,41.65,-87.6,18,2,2,2,3,0,Low
41.65_-87.6,41.65,-87.6,18,3,2,2,8,0,Low
41.65_-87.6,41.65,-87.6,18,4,1,1,12,0,Low
41.65_-87.6,41.65,-87.6,18,6,3,3,3,1,Medium
41.65_-87.6,41.65,-87.6,19,0,3,3,2,0,Medium
41.65_-87.6,41.65,-87.6,19,6,3,3,4,1,Medium
41.65_-87.6,41.65,-87.6,20,2,1,1,7,0,Low
41.65_-87.6,41.65,-87.6,20,4,3,1,5,0,Medium
41.65_-87.6,41.65,-87.6,20,6,1,1,5,1,Low
41.65_-87.6,41.65,-87.6,21,0,4,3,3,0,Medium
41.65_-87.6,41.65,-87.6,21,1,1,1,3,0,Low
41.65_-87.6,41.65,-87.6,21,2,2,2,4,0,Low
41.65_-87.6,41.65,-87.6,21,3,3,3,3,0,Medium
41.65_-87.6,41.65,-87.6,21,4,1,1,5,0,Low
41.65_-87.6,41.65,-87.6,21,5,3,2,4,1,Medium
41.65_-87.6,41.65,-87.6,21,6,2,2,4,1,Low
41.65_-87.6,41.65,-87.6,22,0,2,2,6,0,Low
41.65_-87.6,41.65,-87.6,22,4,1,1,5,0,Low
41.65_-87.6,41.65,-87.6,22,5,1,1,11,1,Low
41.65_-87.6,41.65,-87.6,22,6,1,1,6,1,Low
41.65_-87.6,41.65,-87.6,23,0,2,2,4,0,Low
41.65_-87.6,41.65,-87.6,23,1,1,1,10,0,Low
41.65_-87.6,41.65,-87.6,23,2,3,3,5,0,Medium
41.65_-87.6,41.65,-87.6,23,3,4,1,3,0,Medium
41.65_-87.6,41.65,-87.6,23,4,1,1,11,0,Low
41.65_-87.6,41.65,-87.6,23,5,1,1,5,1,Low
41.65_-87.6,41.65,-87.6,23,6,1,1,9,1,Low
41.65_-87.61,41.65,-87.61,0,0,2,2,3,0,Low
41.65_-87.61,41.65,-87.61,0,1,2,2,4,0,Low
41.65_-87.61,41.65,-87.61,0,2,2,2,4,0,Low
41.65_-87.61,41.65,-87.61,0,3,1,1,4,0,Low
41.65_-87.61,41.65,-87.61,0,4,4,4,2,0,Medium
41.65_-87.61,41.65,-87.61,0,6,3,3,4,1,Medium
41.65_-87.61,41.65,-87.61,1,1,1,1,3,0,Low
41.65_-87.61,41.65,-87.61,1,3,1,1,6,0,Low
41.65_-87.61,41.65,-87.61,1,4,3,2,5,0,Medium
41.65_-87.61,41.65,-87.61,1,5,4,4,5,1,Medium
41.65_-87.61,41.65,-87.61,2,0,1,1,5,0,Low
41.65_-87.61,41.65,-87.61,2,1,1,1,12,0,Low
41.65_-87.61,41.65,-87.61,2,5,2,2,2,1,Low
41.65_-87.61,41.65,-87.61,2,6,2,2,2,1,Low
41.65_-87.61,41.65,-87.61,3,0,1,1,2,0,Low
41.65_-87.61,41.65,-87.61,3,2,1,1,3,0,Low
